"Versió:",1,,,,,,,,
"Categoria:","Terminal i llenguatges",,,,,,,,
"Data creació:",08/09/07,,,,,,,,
"Data Darrera revisió:",08/09/07,,,,,,,,
"Autors:","Nil Oriol, Josep Sanchez, Lluïsa Nuñez, Carles Oriol, Siegfried Gevatter",,,,,,,,
"Descripció:","Comandes del sistema, coneixement sobre diversos llenguages de programació",,,,,,,,
"Jugadors","Interessos mínims en el funcionament d'ordinadors",,,,,,,,
"Idioma","ca",,,,,,,,
"Fons","categoria5.png",,,,,,,,
"So","c5.ogg",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"Pregunta","Resposta 1 ","Resposta 2","Resposta 3","ok","Autor ","Data","Num","Comentari o notes"
,"La comanda «ls» serveix per a:","llistar fitxers","comprimir arxius","veure l'espai lliure al disc",1,"carles",26/08/07,1,
,"Què son les expressions regulars?","Les que no estan bé del tot","Una cadena que s'usa per descriure, enumerar#o filtrar un grup de cadenes, d'acord#amb unes normes de sintaxi","Un component algoritmic per#mimetizar el contingut referent#a la comanda grep",2,"carles",07/09/07,2,
,"Quin d'aquests és el#llengüatge estructurat de consultes?","LEC","SQL","COL",2,"carles",07/09/07,3,"Structured Query Language"
,"Hi ha un llenguatge de programació que#comparteix nom amb una illa d'Indonesia.#Com es diu l'empresa que el va fer?","Novell","Sun Microsystems","Canonical",2,"carles",07/09/07,4,"El llenguatge/màquina virtual Java va ser realitzat per Sun Microsystems."
,"Què vol dir PHP?","PHP: Hypertext Preprocessor","Python Hypertext Preprocessor","Plug Hybrid Processor",1,"carles",07/09/07,5,"Hi ha diversos acrònims recursius. I aquest n'és un, la P de PHP vol dir PHP."
,"Què vol dir la G de les sigles GNU?","Gnome","Gtk","GNU",3,"carles",07/09/07,6,"Es tracta d'unes sigles recursives. GNU No és Unix"
,"La combinació Control + C, en un terminal,#serveix per a:","Aturar el procés en marxa","Copiar","Compilar",1,"lluisanunez",24/08/07,7,"Hi ha una introducció a l'ús de la terminal bastant bona a la pàgina https://wiki.ubuntu.com/JosepSànchez/documentació/interpret_comandes :-)"
,"GTK vol dir","Gimp ToolKit","Graphics Team Kit","Gnome Toolkit",1,"carles",18/08/07,8,"Les llibreries GTK sobre les que després es va basar el GNOME van ser creades per desenvolupar el programa GIMP."
,"Una mica de C#Si: define MAX(A,B) ( ((A) > B) ? (A) : (B) )#i assignem x = 1; y = 2; #el resultat de MAX( ++x, ++y ) és?",2,3,4,3,"Carles",18/08/07,9,"Ja que al ser una macro i no una funció al substituir paràmetres es realitza 2 cops el preincrement de y (++y)"
,"Per què el C++ s'anomena així?","Per que és un C millorat#(més i millor ++)","Per què C + 1 en C s'escriu C++","Les dues creus son en memòria#dels desenvolupadors del C",2,"carles",24/08/07,11,"Abans hi havia el B després va venir el C (B+1) i C + 1 en C s'escriu C++"
,"Quin d'aquests llenguatges no funciona#sobre una màquina virtual","Java","Python","C#",2,"Carles",18/08/07,12,"El Python és un llenguatge semi-interpretat."
,"Quina variant té la disposició#catalana de teclat?","La Ç en lloc de la Ñ","La ŀl es fà amb Alt Gr + L","La satisfacció d'usar#el nostre teclat",2,"carles",07/09/07,13,
,"Podem muntar i accedir a una carpeta#SSH on hi hagi un enllaç a una carpeta NFS#i dins un enllaç a una FTPFS?","Sí, està clar","Tu aŀlucines","A la última no",1,"carles",07/09/07,14,
,"Per veure tots els arxius que#comencin per s o t farem:","ls [st]*","ls st?","ls st[*]",1,"carles",26/08/07,15,
,"Per què serveix la comanda CD?","Per canviar de directori","Per copiar un directori","Per res en majúscules",3,"carles",26/08/07,16,
,"Quants processadors suporta#Debian directament al seu web#d'enllaços de descàrregues?",10,5,3,1,"carles",26/08/07,17,"Tot i que al ser totalment obert és iŀlimitat en aquest sentit."
,"Per veure el contingut d'un arxiu#de text, quina comanda NO serveix?","cat","less","type",3,"carles",26/08/07,18,
,"cp serveix per a:","copiar arxius","coupé: pujar la prioritat#d'un procés","copy paste: duplcar el contingut#del portapapers",1,"carles",26/08/07,19,
,"Què passa quan copiem#cosa.txt i Cosa.TXT#en un disc en fat32","Que es copien","Que esborrem el primer","Que es sumen",2,"carles",26/08/07,20,
,"Per què serveix la comanda md?","Per crear un directori","Per moure un arxiu","Per res",3,"carles",26/08/07,21,"Evidenment. Per fer un directori farem mkdir. Això no és dos!"
,"Per trinxar ben trinxat l'ordinador farem:","sudo rm -d -f -r /","sudo cp /dev/hdb1 > aixo.iso","echo destroy computer contents",1,"Carles",18/08/07,22,
,"Quin dels següents noms no es refereix a un llenguatge?","Tcl","Gambas","Cogombres",3,"RainCT",12/10/07,23,"El Tcl és un llenguatge de «scripting» i Gambas és el nom d'una plataforma de desenvolupament lliure semblant al Visual Basic. Cogombres simplement és el plural del nom d'una verdura."
,"Amb quina funció es pot aconseguir un text introduït#per l'usuari, en un programa Python amb interfície de línia de comandes?","raw_input()","cooked_input()","get_text()",1,"RainCT",12/10/07,24,
,"A continuació hi ha tres enumeracions de «toolkits» per la creació d'interfícies gràfiques. Quina és incorrecta?","Tk, Gtk+, wxWindows, Qt","Gtk, Tc, Gambas, Qt4, FLTK","Gtk, Qt3, FOX",2,"RainCT",12/10/07,25,"El nom «Tc» és fictici. Tots els altres existeixen realment, http://freshmeat.net/articles/view/928/"
,"Quina de les següents comandes ens dirà que no hi ha informació?","man man","man woman","Totes dues",2,"RainCT",12/10/07,26,"La entrada «man» al manual és per documentar la comanda del mateix nom, evidentment."
