"Versió:",1,,,,,,,,
"Categoria:","Kumbaworld",,,,,,,,
"Data creació:",08/09/07,,,,,,,,
"Data Darrera revisió:",08/09/07,,,,,,,,
"Autors:","Carles Oriol",,,,,,,,
"Descripció:","Preguntes de cançons i músics",,,,,,,,
"Jugadors","Cançons en català",,,,,,,,
"Idioma","ca",,,,,,,,
"Fons","categoria_ca08.png",,,,,,,,
,"Pregunta","Resposta 1 ","Resposta 2","Resposta 3","ok","Autor ","Data","Num","Comentari o notes"
,"Com cal estirar l'estaca?","Jo per aquí,#tu per allà","Fort, fort!","Una estona avui,#una estona demà",1,"carles",08/09/07,1,"Si estirem tots, ella caurà i molt de temps no pot durar.#Segur que tomba, tomba, tomba, ben corcada deu ser ja.#Si jo l'estiro fort per aquí i tu l'estires fort per allà,#segur que tomba, tomba, tomba,#i ens podrem alliberar.##Lluís Llach"
,"Qui és el boig de la ciutat?","En Siset","Jo","Tu",2,"carles",08/09/07,2,"Sóc el boig de la ciutat#jo el vaig matar#l'hauré de substituir#fins que algú acabi amb mi...##Sopa de cabra"
,"Què demana Sau que li enviïs?","Un mail","Un petó","Un àngel",3,"carles",08/09/07,3,"Envia'm un àngel que sigui com tu.#Envia'm un àngel que s'assembli a tu.#Envia'm un àngel que em recordi a tu. ##Sau"
,"Qui era l'amant de Margalida?","Salvador Puig ","En Pere Gallerí","Joan Serra",1,"carles",08/09/07,4,"No sé on ets Margalida#però el cant si t’arriba#pren-lo com un bes#crida el nom#del teu amant#bandera negra al cor##Joan Isaac###Salvador Puig i Antich (Barcelona, 1948-1974) fou un anarquista català, actiu durant els anys seixanta i començaments dels setanta. Va morir executat pel règim franquista després de ser jutjat per un Tribunal Militar i condemnat com a culpable de la mort del subinspector de 23 anys Anguas Barragán a Barcelona. (font: viquipèdia)"
,"Què va passar-li a en Pere Gallerí","Es va enamorar","Va morir","Va anar a la muntanya",2,"carles",08/09/07,5,"Se´n puja dalt d´un arbre#per veure el Francolí;#les branques eren guerxes,#se´n va tombar,tombí.##que la mort,que la vi#marxant d´en Pere Gallerí#com vares tururú com vares tu morir##popular"
,"Com fem caure espigues d´or,...","La cançó de matinada","Quan arriba la tardor","Quan convé seguem cadenes! ",3,"carles",08/09/07,6,"Els Segadors## Catalunya, triomfant,#tornarà a ser rica i plena!#Endarrere aquesta gent#tan ufana i tan superba!## Bon cop de falç!#Bon cop de falç, defensors de la terra!#Bon cop de falç!## Ara és hora, segadors!#Ara és hora d´estar alerta!#Per quan vingui un altre juny#esmolem ben bé les eines!## Bon cop de falç!...## Que tremoli l´enemic#en veient la nostra ensenya:#com fem caure espigues d´or,#quan convé seguem cadenes!## Bon cop de falç!...## # Himne nacional de Catalunya"
,"Jo soc l'artista, el cantant...","El pallasso","El músic","El trobador",1,"carles",08/09/07,7,"Per tant, per tots, em vaig a presentar:#Jo ací explique a la meua manera#uns fets, un temps, una estima, una idea.#Jo sóc l´artista. El cantant. El pallasso. ##Ovidi Montllor"
,"Qui va trucar de matinada?","els boletaires","la policia","l'amor",2,"carles",08/09/07,8,"De matinada han trucat,#
són al replà de l'escala#
la mare quan surt a obrir,#
porta la bata posada.#
'Què volen aquesta gent#
que truquen de matinada?'#
#
...#
#
La mare ben poc en sap#
de totes les esperances#
del seu fill estudiant#
que ben compromès n'estava#
'Què volen aquesta gent#
que truquen de matinada?'#
#
Lluís Serrahima - Maria del Mar Bonet"
,"Si fa una nit clara i tranquil·la ...#què en farem, de les tristors?","alegries","riure","fum",3,"carles",08/09/07,9,"Qualsevol nit, pot sortir el sol##
Fa una nit clara i tranquil.la,#hi ha la lluna que fa llum.#Els convidats van arribant i#van omplint tota la casa#de colors i de perfums. ##
Oh ! Benvinguts ! Passeu, passeu,#de les tristors en farem fum.#Que casa meva és casa vostra#si és que hi ha ... cases d´algú. ##
#
Jaume Sisa#"
,"El nom lax'n'busto té el seu origen en?","Un medicament per anar de ventre","Una marca de sostenidors","Un clàssic del Rock'n'roll",1,"carles",08/09/07,10,"D'una entrevista:##Lax’n’Busto és el nom d’ un antic medicament laxant. Com és que el vau triar?##Doncs estàvem diccionari en mà buscant un nom promocional pel primer concert. En Pemi Fortuny estava jugant amb una capseta petita on la seva tieta hi guardava els botons, perquè assajàvem al soterrani de casa seva. I ens va fer gràcia posar aquest nom pensant que ja el canviaríem, però s’ha quedat tota la vida. "
