"Versió:",1,,,,,,,,
"Categoria:","Mangues i còmics",,,,,,,,
"Data creació:",08/09/07,,,,,,,,
"Data Darrera revisió:",08/09/07,,,,,,,,
"Autors:","Nil Oriol, Marc Oriol",,,,,,,,
"Descripció:","Preguntes sobre còmics i mangues",,,,,,,,
"Jugadors","Persones amb coneixements de còmics",,,,,,,,
"Idioma","ca",,,,,,,,
"Fons","categoria_mc.png",,,,,,,,
,"Pregunta","Resposta 1 ","Resposta 2","Resposta 3","ok","Autor ","Data","Num","Comentari o notes"
,"Qui és en Fly?","Un super guerrer de l'espai","Un drac","Un heroi que lluita contra el mal",1,"NiliMarc",08/09/07,1,"FLY#Fly? surten els primers raigs de sol,#i amb aquesta nova claror#el teu somni d'aquesta nit#t'omplirà de nostàlgia quan arribi demà#Fly, ets l'heroi que fas el bé.#No t'aturis, la pots trobar:#a la fi del camí, veuràs#que la flor desitjada tu aconseguiràs.#Vola i lluita, sempre amb coratge,#cavaller i defensor del bé.#Puja amunt, que el desig que tu esperaves#serà realitat al cap del camí.#Fly? la flor que tu has pogut tallar#i la flaire que estàs sentint?#i aquest somni que has conegut,#en néixer un nou dia, ha desaparegut.#Vola i lluita sempre amb coratge,#cavaller i defensor del bé.#Puja amunt, que el desig que tu esperaves#serà realitat al cap del camí.#Vola i lluita sempre amb coratge,#cavaller i defensor del bé.#Puja amunt, que el desig que tu esperaves#serà realitat al cap del camí.#Fly? la flor que tu has pogut tallar#i la flaire que estàs sentint?#i aquest somni que has conegut,#en néixer un nou dia, ha desaparegut.#Fly, heroi que lluita contra el mal,#un bell somni començaràs,#i amb la teva preciosa flor#i la seva fragància, tornaràs a sentir"
,"Monkey D.Luffy somia en?","Ser el rei dels pirates","Una quantitat inacabable de menjar","Tenir la tripulació més gran del mon",2,"NiliMarc",08/09/07,2,"ONE PIECE#Monkey D.Luffy és un noi de poble costaner, el seu somni de tota la vida ha estat ser pirata, ja que veia com els pirates amarraven la barca all? i s'ho passaven molt bé, per? després de con?ixer un noi molt cobard a una illa deserta controlada per una bruixa pirata, vol, a més, ser-ne el rei"
,"La ma dimoni del Sawamura#es converteix en...","Una destral","Una noia","Un ganxo",2,"NiliMarc",08/09/07,3,"MIDORI NO HIBI#Sawamura ha passat 17 anys i 2 mesos sense xicota, amb un record hist?ric al seu institut de 20 carabasses, quan ja ho dona tot per perdut sent una veu femenina molt aprop del seu cap... Surt de la seva ma"
,"Les fruites del diable et donen#un poder però..","No pots nedar","No et pot tocar la llum del sol","Quan et toca la llum de la lluna#et converteixes",1,"NiliMarc",08/09/07,4,"ONE PIECE#Les fruites del diable es el que dona els poders a tots els grans capitans pirates de la red line"
,"En Kakarot és...","En Goku","En Vegeta","En Radix",1,"NiliMarc",08/09/07,5,"BOLA DE DRAC Z#En Vegeta, el príncep dels super guerrers, sempre anomena al Goku Kakarot, ja que era el seu nom original a el planeta Vegeta que és on va néixer (el planeta Vegeta va ser destruït per en Frezeer)"
,"A quin planeta va néixer#en Cor Petit?","Vegeta","Namek","La terra",2,"NiliMarc",08/09/07,6,"BOLA DE DRAC# El cor petit/deu, prové de Namek"
,"A que es dedica en Sergi Grapes?","Mindundi d'oficina","Cambrer","Jugador de futbol",2,"NiliMarc",08/09/07,7,"SERGI GRAPES# Encara que estigui sempre fent invents, tonteries o dormint, el seu veritable ofici es repartidor de cartes"
,"12 dels membres de la família#Soma és transformen en...","Una dotzena d'ous","Els 12 apòstols","Els 12 animals del zodíac xines",3,"NiliMarc",08/09/07,8,"FRUITS BASKET#Es transformes quan es cansen massa o els toca una persona del sexe oposat que no sigui integrant de la família, per això són una família molt tancada."
,"En Mortadel·lo perd els cabells# perquè..","El doctor Bacteri l'enganya","Un indi li arrenca","Es disfressa de vell i no es pot treure#la calba falsa",1,"NiliMarc",08/09/07,9,"MORTADEL·LO I FILEMÓ#A la historia de Mortadel·lo i Filemó, s'explica com quan en Mortadel·lo era un grenyes que tothom coneixia, el doctor Bacteri que era barber li posa una cosa perquè no s'hagi de preocupar per els cabells mai més..."
,"La relació entre en Kyo#i en Yuki és...","S'odien","Es persegueixen com un gat i una rata","Són bons amics",2,"NiliMarc",08/09/07,10,"FRUITS BASKET#Yuki es la rata de la famila Soma, mentre que Kyo es el Gat de la llegenda del zodíac xines (però el gat va ser enganyat per la rata perquè no anés a la festa i per això el gat odia tant a la rata)"
