"Versió:",1,,,,,,,,,
"Categoria:","Jocs, llibres i peŀlícules",,,,,,,,,
"Data creació:",08/09/07,,,,,,,,,
"Data Darrera revisió:",08/09/07,,,,,,,,,
"Autors:","Nil Oriol, Josep Sanchez, Lluïsa Nuñez, Carles Oriol, Julià Mestieri",,,,,,,,,
"Descripció:","Video jocs, peŀlicules i llibres de ciència ficció o de culte",,,,,,,,,
"Jugadors","Diversos",,,,,,,,,
"Idioma","ca",,,,,,,,,
"Fons","categoria4.png",,,,,,,,,
"So","c4.ogg",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pregunta","Resposta 1 ","Resposta 2","Resposta 3","ok","Autor ","Data","Num",,"Comentari o notes"
,"En un capítol de la sèria 'Porca missèria'#es veu un entorn gràfic de Linux, quin?","KDE","Gnome","XFCE",1,"papapep",18/08/07,1,1,
,"Quin any es va fer el joc Pong?",1982,1978,1972,3,"carles",26/08/07,2,2,"El 29 de novembre del 1972 atari va treure aquest joc. "
,"Quin d'aquests mmorpgs te versio per linux?","World of Warcaft","Hellbreath","Regnum",3,"Nil",26/08/07,3,,
,"Quants jocs de cartes de solitari hi ha#als repositoris d'ubuntu?",3,12,"Més de 100",3,"carles",26/08/07,4,4,
,"Quin d'aquests ordinadors NO#duia el procesador Zilog Z80-A","ZX Spectrum","Commodore","MSX",2,"carles",26/08/07,5,5,"Duia un MOS 6510"
,"El cartell de proves del freevial està#copiat de la publicitat d'un video joc#de 8 bits.#Com es deia la empresa que va fer-lo?","Ultimate","Melbourne house","Dynamic",2,"Carles",06/09/07,6,6,"El joc The Hobbit de Melbourne House. Un dels clàssics més grans del ZX Spectrum"
,"Quants anells toquen als Reis Elfs?",3,5,6,1,"carles",07/09/07,7,7,"Tres anells per als Reis Elfs sota el cel.#Set per als Senyors Nans a cases de pedra.#Nou per als Homes Mortals condemnats a morir.#Un per al Senyor Obscur, sobre el tron obscur.#a la Terra de Mordor on s'estenen les Ombres.#Un Anell per governar-los a tots. Un Anell per trobar-los,#un Anell per atreure'ls tots i lligar-los en les tenebres.#a la Terra de Mordor on s'estenen les Ombres.#
.#             
-J.R.R. Tolkien, ""El Senyor dels Anells"".#"
,"Com avisa Maurice Moss als bombers#quan es crema el seu despatx?","IRC","Missatgeria instantània","correu electrònic",3,"Carles",18/08/07,8,8,"A la serie IT crowd quan s'estan cremant les oficinies i devant l'impossibilitat de recordar el telèfon dels bombers en Maurice Moss envia un mail per avisar-los. ( Fire... exclamation mark.)"
