"Versió:",1,,,,,,,,
"Categoria:","Mangues i còmics",,,,,,,,
"Data creació:",08/09/07,,,,,,,,
"Data Darrera revisió:",08/09/07,,,,,,,,
"Autors:","Nil Oriol, Marc Oriol",,,,,,,,
"Descripció:","Preguntes sobre còmics i mangues",,,,,,,,
"Jugadors","Persones amb coneixements sobre còmics",,,,,,,,
"Idioma","ca",,,,,,,,
"Fons","categoria_mc.png",,,,,,,,
"So","cmc.ogg",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"Pregunta","Resposta 1 ","Resposta 2","Resposta 3","ok","Autor ","Data","Num","Comentari o notes"
,"Qui és en Fly?","Un superguerrer de l'espai","Un drac","Un heroi que lluita contra el mal",1,"NiliMarc",08/09/07,1,"FLY#Fly? surten els primers raigs de sol,#i amb aquesta nova claror#el teu somni d'aquesta nit#t'omplirà de nostàlgia quan arribi demà#Fly, ets l'heroi que fas el bé.#No t'aturis, la pots trobar:#a la fi del camí, veuràs#que la flor desitjada tu aconseguiràs.#Vola i lluita, sempre amb coratge,#cavaller i defensor del bé.#Puja amunt, que el desig que tu esperaves#serà realitat al cap del camí.#Fly? la flor que tu has pogut tallar#i la flaire que estàs sentint?#i aquest somni que has conegut,#en néixer un nou dia, ha desaparegut.#Vola i lluita sempre amb coratge,#cavaller i defensor del bé.#Puja amunt, que el desig que tu esperaves#serà realitat al cap del camí.#Vola i lluita sempre amb coratge,#cavaller i defensor del bé.#Puja amunt, que el desig que tu esperaves#serà realitat al cap del camí.#Fly? la flor que tu has pogut tallar#i la flaire que estàs sentint?#i aquest somni que has conegut,#en néixer un nou dia, ha desaparegut.#Fly, heroi que lluita contra el mal,#un bell somni començaràs,#i amb la teva preciosa flor#i la seva fragància, tornaràs a sentir"
